reading_id,household_id,timestamp,energy_kwh,voltage,current_amps,appliance_category,is_solar_powered,grid_status
1,HH_001,2024-01-01 00:00:00,0.1749,216.26,0.81,Charging,0,On-grid
2,HH_001,2024-01-01 01:00:00,0.2009,220.34,0.91,Cooling,0,On-grid
3,HH_001,2024-01-01 02:00:00,0.0563,224.86,0.25,Lighting,0,On-grid
4,HH_001,2024-01-01 03:00:00,0.1234,226.84,0.54,Cooling,0,On-grid
5,HH_001,2024-01-01 04:00:00,0.1544,211.21,0.73,Cooling,0,On-grid
6,HH_001,2024-01-01 05:00:00,0.1298,223.59,0.58,Charging,0,On-grid
7,HH_001,2024-01-01 06:00:00,0.7221,213.1,3.39,Other,0,On-grid
8,HH_001,2024-01-01 07:00:00,0.7722,219.72,3.51,Other,0,On-grid
9,HH_001,2024-01-01 08:00:00,0.5949,219.55,2.71,Cooking,0,On-grid
10,HH_001,2024-01-01 09:00:00,0.6275,215.3,2.91,Cooking,0,On-grid
11,HH_001,2024-01-01 10:00:00,0.4453,224.78,1.98,Cooking,0,On-grid
12,HH_001,2024-01-01 11:00:00,0.3352,216.04,1.55,Lighting,0,On-grid
13,HH_001,2024-01-01 12:00:00,0.367,214.82,1.71,Cooling,0,On-grid
14,HH_001,2024-01-01 13:00:00,0.5224,220.18,2.37,Charging,0,On-grid
15,HH_001,2024-01-01 14:00:00,0.3975,221.07,1.8,Other,0,On-grid
16,HH_001,2024-01-01 15:00:00,0.5166,218.9,2.36,Charging,0,On-grid
17,HH_001,2024-01-01 16:00:00,0.5602,217.12,2.58,Cooling,0,On-grid
18,HH_001,2024-01-01 17:00:00,0.7864,226.83,3.47,Charging,0,On-grid
19,HH_001,2024-01-01 18:00:00,1.1682,221.56,5.27,Cooling,0,On-grid
20,HH_001,2024-01-01 19:00:00,1.3404,215.22,6.23,Lighting,0,On-grid
21,HH_001,2024-01-01 20:00:00,1.1433,212.89,5.37,Cooking,0,On-grid
22,HH_001,2024-01-01 21:00:00,0.8515,214.59,3.97,Entertainment,0,On-grid
23,HH_001,2024-01-01 22:00:00,0.7265,224.41,3.24,Cooling,0,On-grid
24,HH_001,2024-01-01 23:00:00,0.3058,215.69,1.42,Charging,0,On-grid
25,HH_001,2024-01-02 00:00:00,0.0722,219.05,0.33,Cooling,0,On-grid
26,HH_001,2024-01-02 01:00:00,0.182,229.55,0.79,Other,0,On-grid
27,HH_001,2024-01-02 02:00:00,0.0,222.81,0.0,Cooking,0,On-grid
28,HH_001,2024-01-02 03:00:00,0.0262,217.56,0.12,Cooling,0,On-grid
29,HH_001,2024-01-02 04:00:00,0.0786,215.85,0.36,Other,0,On-grid
30,HH_001,2024-01-02 05:00:00,0.1321,215.46,0.61,Other,0,On-grid
31,HH_001,2024-01-02 06:00:00,0.5567,223.78,2.49,Entertainment,0,On-grid
32,HH_001,2024-01-02 07:00:00,0.9074,223.76,4.06,Cooking,0,On-grid
33,HH_001,2024-01-02 08:00:00,0.7003,222.85,3.14,Cooking,0,On-grid
34,HH_001,2024-01-02 09:00:00,0.4779,220.24,2.17,Entertainment,0,On-grid
35,HH_001,2024-01-02 10:00:00,0.4979,211.69,2.35,Cooling,0,On-grid
36,HH_001,2024-01-02 11:00:00,0.3261,220.24,1.48,Cooking,0,On-grid
37,HH_001,2024-01-02 12:00:00,0.4505,217.12,2.07,Entertainment,0,On-grid
38,HH_001,2024-01-02 13:00:00,0.4147,227.21,1.83,Cooling,0,On-grid
39,HH_001,2024-01-02 14:00:00,0.4933,218.98,2.25,Other,0,On-grid
40,HH_001,2024-01-02 15:00:00,0.5528,216.98,2.55,Cooking,0,On-grid
41,HH_001,2024-01-02 16:00:00,0.6065,219.22,2.77,Other,0,On-grid
42,HH_001,2024-01-02 17:00:00,0.9253,217.94,4.25,Cooking,0,On-grid
43,HH_001,2024-01-02 18:00:00,1.1546,217.9,5.3,Cooling,0,On-grid
44,HH_001,2024-01-02 19:00:00,1.4153,218.37,6.48,Entertainment,0,On-grid
45,HH_001,2024-01-02 20:00:00,1.0471,214.96,4.87,Cooking,0,On-grid
46,HH_001,2024-01-02 21:00:00,0.9014,228.38,3.95,Entertainment,0,On-grid
47,HH_001,2024-01-02 22:00:00,0.6622,208.94,3.17,Entertainment,0,On-grid
48,HH_001,2024-01-02 23:00:00,0.1891,225.72,0.84,Charging,0,On-grid
49,HH_001,2024-01-03 00:00:00,0.1975,231.35,0.85,Charging,0,On-grid
50,HH_001,2024-01-03 01:00:00,0.078,215.75,0.36,Charging,0,On-grid
51,HH_001,2024-01-03 02:00:00,0.0804,217.61,0.37,Other,0,On-grid
52,HH_001,2024-01-03 03:00:00,0.1528,217.45,0.7,Other,0,On-grid
53,HH_001,2024-01-03 04:00:00,0.0548,215.11,0.25,Cooking,0,On-grid
54,HH_001,2024-01-03 05:00:00,0.2068,215.39,0.96,Entertainment,0,On-grid
55,HH_001,2024-01-03 06:00:00,0.631,229.38,2.75,Cooling,0,On-grid
