household_id,region,household_size,income_level,has_solar_system,solar_capacity_watts,monthly_energy_budget_usd
HH_001,Semi-urban,7,High,0,0,43.05
HH_002,Rural,8,Low,0,0,15.11
HH_003,Rural,7,Low,1,50,18.41
HH_004,Rural,1,Low,0,0,13.45
HH_005,Urban,4,High,0,0,33.24
HH_006,Urban,5,Medium,0,0,14.35
HH_007,Urban,8,Medium,1,400,15.48
HH_008,Rural,4,Medium,0,0,17.98
HH_009,Rural,6,Low,0,0,10.91
HH_010,Rural,5,Medium,0,0,25.46
HH_011,Urban,7,Medium,0,0,9.97
HH_012,Rural,7,Low,1,100,8.93
HH_013,Rural,5,Low,0,0,20.79
HH_014,Semi-urban,7,Medium,0,0,18.96
HH_015,Urban,3,Low,1,400,18.12
HH_016,Urban,5,High,1,400,36.28
HH_017,Semi-urban,4,Low,0,0,14.94
HH_018,Rural,5,Low,1,400,10.51
HH_019,Semi-urban,8,Low,0,0,15.38
HH_020,Semi-urban,7,Medium,0,0,11.61
HH_021,Rural,3,Low,1,100,19.88
HH_022,Urban,3,Low,1,200,14.26
HH_023,Semi-urban,6,Medium,1,400,10.87
HH_024,Semi-urban,4,Low,1,50,13.39
HH_025,Semi-urban,2,Medium,0,0,17.06
HH_026,Rural,2,Low,0,0,12.18
HH_027,Urban,5,Medium,1,200,10.89
HH_028,Rural,6,Low,0,0,16.22
HH_029,Rural,1,Medium,1,50,16.22
HH_030,Urban,5,Low,1,400,12.47
HH_031,Rural,6,Low,1,200,12.64
HH_032,Urban,4,Low,0,0,16.16
HH_033,Urban,4,High,0,0,15.52
HH_034,Rural,4,Medium,0,0,7.96
HH_035,Rural,4,Low,0,0,11.41
HH_036,Rural,4,Low,0,0,13.93
HH_037,Semi-urban,6,Medium,0,0,16.55
HH_038,Urban,6,Medium,0,0,22.38
HH_039,Rural,3,Low,0,0,19.29
HH_040,Semi-urban,8,Low,0,0,14.2
HH_041,Urban,2,Low,0,0,14.9
HH_042,Semi-urban,7,Medium,0,0,9.99
HH_043,Urban,4,High,1,100,29.81
HH_044,Rural,1,Low,0,0,13.56
HH_045,Semi-urban,7,Low,0,0,16.61
HH_046,Rural,6,Low,0,0,10.86
HH_047,Semi-urban,1,Medium,1,200,17.6
HH_048,Rural,1,Medium,0,0,22.66
HH_049,Rural,1,Medium,0,0,14.46
HH_050,Urban,3,High,0,0,34.02
HH_051,Rural,6,Low,0,0,18.45
HH_052,Rural,1,Low,0,0,12.99
HH_053,Rural,4,Low,0,0,16.12
HH_054,Rural,5,Medium,0,0,15.06
HH_055,Rural,1,Low,1,100,15.49
HH_056,Rural,3,Low,1,100,11.13
HH_057,Urban,7,Low,0,0,15.12
HH_058,Urban,6,Medium,0,0,17.49
HH_059,Urban,8,Low,1,50,22.26
HH_060,Semi-urban,3,Low,0,0,19.8
HH_061,Semi-urban,1,Medium,0,0,25.77
HH_062,Semi-urban,6,Medium,0,0,11.16
HH_063,Rural,5,Low,0,0,19.36
HH_064,Semi-urban,1,Low,1,100,15.92
HH_065,Semi-urban,3,Medium,1,50,25.95
HH_066,Rural,2,Low,0,0,10.96
HH_067,Urban,4,Medium,0,0,10.8
HH_068,Rural,8,Medium,0,0,12.0
HH_069,Urban,7,Medium,0,0,5.0
HH_070,Rural,3,Medium,0,0,12.37
HH_071,Rural,6,Low,0,0,11.2
HH_072,Urban,8,Medium,1,50,15.75
HH_073,Urban,8,Low,0,0,16.71
HH_074,Rural,8,Low,0,0,24.38
HH_075,Rural,1,Low,1,100,19.75
HH_076,Rural,4,Low,1,50,12.12
HH_077,Rural,1,High,0,0,21.02
HH_078,Urban,6,Medium,0,0,17.46
HH_079,Semi-urban,1,Medium,0,0,8.4
HH_080,Urban,2,Medium,0,0,24.16
HH_081,Rural,4,Medium,0,0,20.9
HH_082,Rural,4,Low,1,200,12.65
HH_083,Semi-urban,6,Medium,0,0,6.43
HH_084,Urban,7,Medium,0,0,21.77
HH_085,Semi-urban,2,Low,0,0,14.43
HH_086,Semi-urban,3,Medium,0,0,21.19
HH_087,Rural,1,Low,1,200,7.03
HH_088,Rural,5,Low,1,400,12.0
HH_089,Rural,1,Low,0,0,15.03
HH_090,Semi-urban,8,Low,0,0,15.23
HH_091,Urban,1,High,0,0,25.5
HH_092,Rural,3,High,0,0,36.23
HH_093,Rural,1,Medium,0,0,9.66
HH_094,Rural,2,Low,0,0,14.29
HH_095,Rural,2,Low,0,0,15.6
HH_096,Semi-urban,4,High,0,0,35.14
HH_097,Rural,6,Low,0,0,18.56
HH_098,Semi-urban,7,High,0,0,18.75
HH_099,Urban,5,High,0,0,14.66
HH_100,Urban,8,High,0,0,42.78
