household_id,energy_kwh,region,household_size,income_level,has_solar_system,solar_capacity_watts,monthly_energy_budget_usd,est_monthly_cost,potential_monthly_savings,budget_pressure,recommendation_score
HH_033,392.7713,Urban,4,High,0,0,15.52,58.915695,23.566278,3.796114368556701,130.37982565670103
HH_011,262.5973,Urban,7,Medium,0,0,9.97,39.389595,15.755838,3.950811935807422,129.55344467422265
HH_042,261.5314,Semi-urban,7,Medium,0,0,9.99,39.229710000000004,15.691884000000002,3.926897897897898,128.79125573693696
HH_034,156.6375,Rural,4,Medium,0,0,7.96,23.495624999999997,9.398249999999999,2.951711683417085,114.15615060301505
HH_020,261.7672,Semi-urban,7,Medium,0,0,11.61,39.26508,15.706032,3.3820051679586562,112.45437743875969
HH_040,261.854,Semi-urban,8,Low,0,0,14.2,39.278099999999995,15.711239999999998,2.76606338028169,93.9797694084507
HH_006,259.0281,Urban,5,Medium,0,0,14.35,38.854214999999996,15.541685999999999,2.707610801393728,92.10750424181184
HH_041,262.30649999999997,Urban,2,Low,0,0,14.9,39.345974999999996,15.738389999999999,2.640669463087248,90.23695689261744
HH_017,260.5262,Semi-urban,4,Low,0,0,14.94,39.07893,15.631572,2.6157248995983937,89.41384738795182
HH_057,261.9059,Urban,7,Low,0,0,15.12,39.28588499999999,15.714353999999998,2.5982728174603174,88.94823232380952
HH_019,260.8086,Semi-urban,8,Low,0,0,15.38,39.12129,15.648516,2.543646944083225,87.26336952249675
HH_046,157.4261,Rural,6,Low,0,0,10.86,23.613915,9.445566,2.1743936464088396,86.21244671071823
HH_009,156.5937,Rural,6,Low,0,0,10.91,23.489055,9.395622000000001,2.1529839596700273,85.39974502812099
HH_032,262.0705,Urban,4,Low,0,0,16.16,39.31057499999999,15.724229999999999,2.432585086633663,83.98451359900989
HH_045,263.9137,Semi-urban,7,Low,0,0,16.61,39.587055,15.834822,2.383326610475617,82.5841737142685
HH_035,156.6617,Rural,4,Low,0,0,11.41,23.499254999999998,9.399702,2.059531551270815,82.03888552574934
HH_037,260.4235,Semi-urban,6,Medium,0,0,16.55,39.063525,15.62541,2.360333836858006,81.74780210574018
HH_025,260.0788,Semi-urban,2,Medium,0,0,17.06,39.01182,15.604728000000001,2.286742086752638,79.52557220257913
HH_058,260.933,Urban,6,Medium,0,0,17.49,39.13995,15.65598,2.2378473413379076,78.09460624013722
HH_026,156.4558,Rural,2,Low,0,0,12.18,23.46837,9.387348000000001,1.9267955665024632,77.25001271408868
HH_052,157.1918,Rural,1,Low,0,0,12.99,23.57877,9.431508,1.815147806004619,73.26778773616628
HH_014,258.1043,Semi-urban,7,Medium,0,0,18.96,38.715645,15.486258000000001,2.0419643987341773,72.09931256202532
HH_004,158.2919,Rural,1,Low,0,0,13.45,23.743785,9.497514,1.7653371747211897,71.53005004996282
HH_044,158.4572,Rural,1,Low,0,0,13.56,23.76858,9.507432,1.7528451327433627,71.08866765876105
HH_060,261.489,Semi-urban,3,Low,0,0,19.8,39.223349999999996,15.68934,1.9809772727272725,70.41185618181818
HH_005,393.7465,Urban,4,High,0,0,33.24,59.061975000000004,23.624790000000004,1.7768343862815885,69.84238458844766
HH_036,158.0994,Rural,4,Low,0,0,13.93,23.71491,9.485964000000001,1.7024343144292893,69.25584507945442
HH_050,390.685,Urban,3,High,0,0,34.02,58.60275,23.441100000000002,1.7225970017636683,68.08668005291005
HH_049,157.6554,Rural,1,Medium,0,0,14.46,23.64831,9.459324,1.6354294605809128,66.82129274091285
HH_054,157.7609,Rural,5,Medium,0,0,15.06,23.664134999999998,9.465653999999999,1.5713237051792828,64.51880274645418
HH_038,264.1301,Urban,6,Medium,0,0,22.38,39.619515,15.847806,1.770308981233244,64.20273363699732
HH_002,156.3905,Rural,8,Low,0,0,15.11,23.458575,9.38343,1.552519854401059,63.772795958438124
HH_053,157.1272,Rural,4,Low,0,0,16.12,23.569079999999996,9.427632,1.4621017369727043,60.55487341101735
HH_028,156.6531,Rural,6,Low,0,0,16.22,23.497964999999997,9.399185999999998,1.4487031442663378,60.048629433588154
HH_001,390.8667,Semi-urban,7,High,0,0,43.05,58.630005,23.452002,1.3619048780487806,57.27354774146342
HH_061,261.8757,Semi-urban,1,Medium,0,0,25.77,39.281355,15.712542,1.5243055878928986,56.72794703678696
HH_008,156.7742,Rural,4,Medium,0,0,17.98,23.51613,9.406452,1.30790489432703,54.98599587577307
HH_051,156.2012,Rural,6,Low,0,0,18.45,23.43018,9.372072000000001,1.269928455284553,53.589964870243904
HH_039,156.4368,Rural,3,Low,0,0,19.29,23.46552,9.386208000000002,1.21646034214619,51.67698703726284
HH_013,156.683,Rural,5,Low,0,0,20.79,23.50245,9.40098,1.1304689754689754,48.593706316883114
HH_048,156.6841,Rural,1,Medium,0,0,22.66,23.502615,9.401046,1.0371851279788173,45.235543247237416
HH_010,155.4177,Rural,5,Medium,0,0,25.46,23.312655,9.325062,0.9156580911233306,40.796743360439905
HH_062,46.0795,Semi-urban,6,Medium,0,0,11.16,6.911925,2.7647700000000004,0.6193481182795699,20.515782548387097
