date,household_id,region,has_solar,total_kwh,peak_kwh,off_peak_kwh,estimated_cost_usd,solar_savings_usd
2024-01-01,HH_001,Semi-urban,0,13.0227,7.9466,5.0761,2.748065,0.0
2024-01-01,HH_002,Rural,0,5.0438,3.0707,1.9731,1.06364,0.0
2024-01-01,HH_003,Rural,1,4.846,3.0883,1.7577,1.03573,0.24230000000000002
2024-01-01,HH_004,Rural,0,5.1421,3.093,2.0491,1.0806149999999999,0.0
2024-01-01,HH_005,Urban,0,13.0047,7.766,5.2387,2.727305,0.0
2024-01-01,HH_006,Urban,0,8.3292,5.3495,2.9797000000000002,1.78433,0.0
2024-01-01,HH_007,Urban,1,6.1385,4.8031,1.3354,1.401085,0.306925
2024-01-01,HH_008,Rural,0,5.5389,3.339,2.1999,1.1647349999999999,0.0
2024-01-01,HH_009,Rural,0,5.3514,3.2171,2.1343,1.12442,0.0
2024-01-01,HH_010,Rural,0,5.27,3.2161,2.0539,1.11211,0.0
2024-01-01,HH_011,Urban,0,8.897,5.537,3.36,1.88825,0.0
2024-01-01,HH_012,Rural,1,4.2459999999999996,3.1113,1.1347,0.9480299999999999,0.2123
2024-01-01,HH_013,Rural,0,5.0049,3.2176,1.7872999999999999,1.072495,0.0
2024-01-01,HH_014,Semi-urban,0,8.8882,5.6471,3.2411,1.89794,0.0
2024-01-01,HH_015,Urban,1,5.9347,4.646,1.2887,1.354805,0.296735
2024-01-01,HH_016,Urban,1,9.8265,7.3676,2.4589,2.210735,0.491325
2024-01-01,HH_017,Semi-urban,0,8.7799,5.3579,3.422,1.8527749999999998,0.0
2024-01-01,HH_018,Rural,1,3.4958,2.7497,0.7461,0.7993399999999999,0.17479
2024-01-01,HH_019,Semi-urban,0,9.0932,5.5884,3.5048,1.92282,0.0
2024-01-01,HH_020,Semi-urban,0,8.9179,5.2521,3.6658,1.862895,0.0
2024-01-01,HH_021,Rural,1,4.1719,3.0238,1.1481000000000001,0.928165,0.208595
